Código Mantenedora;Razão Social;CNPJ;Natureza Jurídica;Código IES;Instituição(IES);Sigla;Endereço;Município;UF;Organização Acadêmica;Tipo de Credenciamento;Categoria;Categoria Administrativa;CI;Ano CI;CI-EaD;Ano CI-EaD;IGC;Ano IGC;Situação
57;AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE;11.462.454/0001-09;Pessoa Jurídica de Direito Público - Municipal;73;CENTRO DE ENSINO SUPERIOR DE ARCOVERDE (CESA);CESA;Rua Gumercindo Cavalcanti - 420 - PREDIO - CEP: 56512-902 - SÃO CRISTOVÃO;Arcoverde;PE;Faculdade;Presencial - Superior;Pública;Especial;-;;-;;2;2016;Ativa
510;ASSOCIACAO CATALANA DE EDUCACAO;01.067.420/0001-58;Privada sem fins lucrativos;754;CENTRO DE ENSINO SUPERIOR DE CATALÃO (CESUC);CESUC;Avenida Presidente Médici - S/N - Setor - CEP: 75706-420 - Santa Cruz;Catalão;GO;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;4;2011;-;;3;2016;Ativa
77;FUNDACAO MUNICIPAL DE ENSINO SUPERIOR DE CONS LAFAIETE;19.722.313/0001-81;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação;3488;Centro de Ensino Superior de Conselheiro Lafaiete (CES-CL);CES-CL;Rua Lopes Franco - 1001 - s/c - CEP: 36400-000 - Carijós;Conselheiro Lafaiete;MG;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2015;-;;2;2016;Ativa
1804;CESUPI CENTRO DE ENSINO SUPERIOR DE ILHEUS LTDA - ME;04.245.712/0001-21;Privada com fins lucrativos;2771;CENTRO DE ENSINO SUPERIOR DE ILHÉUS (CESUPI);CESUPI;Rodovia Ilheus-Olivenca - s/n - Km 2,5 - CEP: 45650-000 - Jardim Atlantico II;Ilhéus;BA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2016;-;;3;2016;Ativa
511;ASSOCIACAO JATAIENSE DE EDUCACAO;00.079.285/0001-06;Privada com fins lucrativos;755;CENTRO DE ENSINO SUPERIOR DE JATAÍ (CESUT);CESUT;Rua Santos Dumont - 1.200 - s/c - CEP: 75804-045 - Setor Oeste;Jataí;GO;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;3;2016;Ativa
235;ASSOCIACAO PROPAGADORA ESDEVA;21.562.368/0001-13;Privada sem fins lucrativos;337;CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA (CES/JF);CES/JF;Rua Halfeld - 1179 - s/c - CEP: 36016-000 - Centro;Juiz de Fora;MG;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2010;-;;3;2016;Ativa
770;INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA;37.174.034/0001-02;Privada sem fins lucrativos;21892;CENTRO DE ENSINO SUPERIOR DE PALMAS (CESUP);CESUP;Quadra 1102 Sul Avenida Joaquim Teotônio Segurado - s/n - Conjunto 1, Lotes 01 e 02 - CEP: 77024-002 - Plano Diretor Sul;Palmas;TO;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;4;2017;-;;-;;Ativa
3484;ASSOCIACAO EDUCACIONAL DR. ODILON FERNANDES;19.062.231/0001-58;Privada sem fins lucrativos;4166;CENTRO DE ENSINO SUPERIOR DE UBERABA (CESUBE);CESUBE;Avenida Randolfo Borges Junior - 1250 - s/c - CEP: 38066-005 - Univerdecidade;Uberaba;MG;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2017;-;;3;2016;Ativa
337;FUNDACAO EDUCACIONAL D ANDRE ARCOVERDE;32.354.011/0001-66;Privada sem fins lucrativos;490;CENTRO DE ENSINO SUPERIOR DE VALENÇA (CESVA);CESVA;Rua Sargento Vitor Hugo - 219 - s/c - CEP: 27600-000 - Fátima;Valença;RJ;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;3;2011;4;2016;4;2016;Ativa
794;UNIAO CAPIXABA DE ENSINO SUPERIOR LTDA - UCES;36.347.508/0001-08;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1159;CENTRO DE ENSINO SUPERIOR DE VITÓRIA (CESV);CESV;Rua Doutor Eurico de Aguiar - 1003 - - de 371 ao fim - lado ímpar - CEP: 29056-205 - Santa Lúcia;Vitória;ES;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;3;2016;Ativa
600;ASSOCIACAO AMAPAENSE DE ENSINO E CULTURA;04.661.922/0001-09;Privada com fins lucrativos;861;CENTRO DE ENSINO SUPERIOR DO AMAPÁ (CEAP);CEAP;Rodovia de Duca Serra - s/n - - até km 0,003 - CEP: 68906-698 - Alvorada;Macapá;AP;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;3;2014;-;;3;2016;Ativa
505;APEC ASSOCIACAO PIAUIENSE DE EDUCACAO E CULTURA;05.804.208/0001-87;Privada sem fins lucrativos;749;CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA (CESVALE);CESVALE;BR 343, Km 04, Estrada Teresina-Altos - 68 - Zona Rural - CEP: 64000-010 - Centro;Teresina;PI;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;4;2011;-;;2;2016;Ativa
446;AUTARQUIA BELEMITA DE CULTURA DESPORTOS E EDUCACAO;10.264.877/0001-43;Pessoa Jurídica de Direito Público - Municipal;674;CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO (CESVASF);CESVASF;BR 316 - Campus Alto do Encanto - s/n - s/c - CEP: 56440-000 - Nova Olinda;Belém de São Francisco;PE;Faculdade;Presencial - Superior;Pública;Especial;-;;-;;2;2016;Ativa
16446;SOCIEDADE EDUCACIONAL MARAU LTDA;21.998.727/0001-80;Privada com fins lucrativos;15351;Centro de Ensino Superior Riograndense Marau CESURG;-;Rua Júlio Borella - 3553 - s/c - CEP: 99150-000 - Centro;Marau;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;-;;Ativa
15927;SOCIEDADE EDUCACIONAL SARANDI LTDA;17.000.211/0001-27;Privada com fins lucrativos;18034;Centro de Ensino Superior Riograndese (CESURG);CESURG;Rodovia Governador Leonel de Moura Brizola - KM 38 - Interior - CEP: 99560-000 - Linha Beira Campo;Sarandi;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;-;;Ativa
770;INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA;37.174.034/0001-02;Privada sem fins lucrativos;15508;Centro de Ensino Unificado do Piauí (CEUPI);CEUPI;Rua Durvalino Couto - 1220 - CENTRO DE ENSINO UNIFICADO DO PIAUÍ - CEUPI - CEP: 64049-120 - Jockey Club;Teresina;PI;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2015;-;;-;;Ativa
1296;CENTRO EDUCACIONAL APRENDIZ LTDA - ME;03.517.381/0001-79;Privada com fins lucrativos;1977;CENTRO DE ESTUDOS SUPERIORES APRENDIZ (CESA);CESA;Avenida Bias Fortes - 02 - s/c - CEP: 36200-068 - Centro;Barbacena;MG;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;-;;-;;2;2016;Ativa
16655;CENTRO FED DE ED TECNOLOGICA CELSO SUCKOW DA FONSECA RJ;42.441.758/0001-05;Pessoa Jurídica de Direito Público - Federal;593;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA (CEFET/RJ);CEFET/RJ;Avenida Maracanã - 229 - s/c - CEP: 20271-110 - Maracanã;Rio de Janeiro;RJ;Centro Federal de Educação Tecnológica;EAD - Superior / Presencial - Superior;Pública;Pública Federal;3;2011;-;;3;2016;Ativa
16596;CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS;17.220.203/0001-96;Pessoa Jurídica de Direito Público - Federal;594;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS (CEFET/MG);CEFET/MG;Avenida Amazonas - 5253 - s/c - CEP: 30480-000 - Nova Suiça;Belo Horizonte;MG;Centro Federal de Educação Tecnológica;Presencial - Superior;Pública;Pública Federal;4;2011;-;;4;2016;Ativa
179;FUNDACAO PINHALENSE DE ENSINO;54.228.416/0001-90;Privada sem fins lucrativos;1230;CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL (UNIPINHAL);UNIPINHAL;Avenida Hélio Vergueiro Leite - s/n - s/c - CEP: 13990-000 - Jardim Universitário;Espírito Santo do Pinhal;SP;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2017;-;;3;2016;Ativa
76;FUNDACAO EDUCACIONAL DE MACHADO;17.907.031/0001-23;Privada sem fins lucrativos;3972;CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO (CESEP);CESEP;Av Dr Athayde Pereira de Souza - 730 - s/c - CEP: 37750-000 - Centro;Machado;MG;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2015;-;;3;2016;Ativa
15603;ESCOLA DE EDUCACAO SUPERIOR SAO JOSE;67.973.602/0001-04;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Sociedade;17014;CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE (CSEJCDA);CSEJCDA;Rua Comendador Cantinho - 394 - s/c - CEP: 03603-020 - Penha de França;São Paulo;SP;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2016;-;;SC;2012;Ativa
558;UNIMEO-UNIAO EDUCACIONAL DO MEDIO OESTE PARANAENSE LTDA - EPP;78.669.868/0001-76;Privada com fins lucrativos;810;CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE (CTESOP);CTESOP;Avenida Brasil - 1441 - s/c - CEP: 85935-000 - Jardim Paraná;Assis Chateaubriand;PR;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2011;-;;3;2016;Ativa
418;CENTRO DE ESTUDOS SUPERIORES POSITIVO LTDA;78.791.712/0001-63;Privada com fins lucrativos;18064;CENTRO TECNOLÓGICO POSITIVO (CTPositivo);CTPositivo;Rua Senador Accioly Filho - 511 - - até 1724/1725 - CEP: 81310-000 - Cidade Industrial;Curitiba;PR;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2014;-;;-;;Ativa
144;INSTITUTO ADVENTISTA DE ENSINO;43.586.056/0001-82;Privada sem fins lucrativos;1365;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO (UNASP);UNASP;Estrada de Itapecerica - 5859 - s/c - CEP: 05858-001 - Jardim IAE;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;3;2009;4;2016;3;2016;Ativa
151;FUNDACAO ESCOLA DE COMERCIO ALVARES PENTEADO - FECAP;60.736.683/0001-71;Privada sem fins lucrativos;213;CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO (FECAP);FECAP;Avenida da Liberdade - 532 - Bloco C - CEP: 01502-001 - Liberdade;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;4;2006;4;2010;4;2016;Ativa
979;CENTRO EDUCACIONAL ALVES FARIA LTDA.;02.850.990/0001-82;Privada com fins lucrativos;1493;CENTRO UNIVERSITÁRIO ALVES FARIA (ALFA);ALFA;Avenida Perimetral Norte - 4.129 - s/c - CEP: 74445-190 - Vila João Vaz;Goiânia;GO;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;3;2016;Ativa
715;UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA;67.172.676/0001-33;Privada com fins lucrativos;1225;CENTRO UNIVERSITÁRIO AMPARENSE (UNIFIA);UNIFIA;Rodovia Sp 95, Km 46,5 - s/n - s/c - CEP: 13900-000 - Martírio;Amparo;SP;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;3;2010;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;1045;CENTRO UNIVERSITÁRIO ANHANGÜERA (UNIFIAN);UNIFIAN;Rua Waldemar Silenci - 340 - s/c - CEP: 13614-370 - Cidade Jardim;Leme;SP;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;4;2016;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;926;CENTRO UNIVERSITÁRIO ANHANGUERA DE CAMPO GRANDE;-;BR 163 - 3203 - s/c - CEP: 79079-005 - Chácara das Mansões;Campo Grande;MS;Centro Universitário;EAD - Lato-sensu / Presencial - Superior;Privada;Privada com fins lucrativos;3;2009;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;515;CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI (UNIAN-RJ);UNIAN-RJ;Rua Visconde do Rio Branco - 123 - s/c - CEP: 24020-000 - Centro;Niterói;RJ;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;3;2017;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;242;CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRÉ (UNIA);UNIA;Rua Senador Flaquer - 456/459 - s/c - CEP: 09010-160 - Centro;Santo André;SP;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;3;2009;-;;3;2016;Ativa
16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;376;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;-;Rua Afonso Celso - 235 - s/c - CEP: 04119-901 - Vila Mariana;São Paulo;SP;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;3;2009;-;;3;2016;Ativa
957;ASSOCIACAO EDUCACIONAL TOLEDO;03.318.018/0001-24;Privada sem fins lucrativos;1841;CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE (TOLEDO PRUDENTE);TOLEDO PRUDENTE;Praça Raul Furquim - 09 - s/c - CEP: 19030-430 - Vila Furquim;Presidente Prudente;SP;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;5;2012;-;;4;2016;Ativa
893;FUNDACAO ASSIS GURGACZ;02.203.539/0001-73;Privada sem fins lucrativos;1336;CENTRO UNIVERSITÁRIO ASSIS GURGACZ (FAG);FAG;Avenida das Torres - 500 - s/c - CEP: 85806-095 - Loteamento FAG;Cascavel;PR;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;4;2014;-;;3;2016;Ativa
117;INSTITUTO EDUCACIONAL SEMINARIO PAULOPOLITANO;63.031.934/0001-00;Privada sem fins lucrativos;161;CENTRO UNIVERSITÁRIO ASSUNÇÃO (UNIFAI);UNIFAI;Rua Afonso Celso - 671/711 - - de 631/632 a 1029/1030 - CEP: 04119-060 - Vila Mariana;São Paulo;SP;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2009;-;;3;2016;Ativa
199;SOCIEDADE UNIFICADA DE ENSINO AUGUSTO MOTTA;34.008.227/0001-03;Privada sem fins lucrativos;277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA (UNISUAM);UNISUAM;Avenida Paris - 72 - s/c - CEP: 21041-020 - Bonsucesso;Rio de Janeiro;RJ;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;3;2015;-;;3;2016;Ativa
963;COMPLEXO DE ENSINO SUPERIOR DO BRASIL LTDA.;02.741.457/0001-82;Privada com fins lucrativos;3602;CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL (UNIBRASIL);UNIBRASIL;Rua Konrad Adenauer - 442 - s/c - CEP: 82821-020 - Tarumã;Curitiba;PR;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;4;2012;5;2013;3;2016;Ativa
98;ORGANIZACAO EDUCACIONAL BARAO DE MAUA;56.001.480/0001-60;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação;138;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ (CBM);CBM;Rua Ramos de Azevedo - 423 - s/c - CEP: 14090-180 - Jardim Paulista;Ribeirão Preto;SP;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;4;2017;-;;3;2016;Ativa
1124;FUNDACAO EDUCACIONAL BARRIGA VERDE;82.975.236/0001-08;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação;4163;CENTRO UNIVERSITÁRIO BARRIGA VERDE (UNIBAVE);UNIBAVE;Rua Miguel Couto - 313 - s/c - CEP: 88870-000 - Centro;Orleans;SC;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;4;2017;-;;3;2016;Ativa
1124;FUNDACAO EDUCACIONAL BARRIGA VERDE;82.975.236/0001-08;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação;19551;CENTRO UNIVERSITÁRIO BARRIGA VERDE / UNIBAVE Cocal do Sul (UNIBAVE);UNIBAVE;Avenida Valdemar Kleinubing - S/N - s/c - CEP: 88845-000 - Centro;Cocal do Sul;SC;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;-;;-;;-;;Ativa
118;FEBASP ASSOCIACAO CIVIL;62.294.053/0001-10;Privada sem fins lucrativos;162;CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO (FEBASP);FEBASP;Rua Dr. Álvaro Alvim - 76/90 - s/c - CEP: 04018-010 - Vila Mariana;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;4;2010;-;;3;2016;Ativa
2996;IBGM - INSTITUTO BRASILEIRO DE GESTAO & MARKETING LTDA - EPP;07.397.220/0001-40;Privada com fins lucrativos;4702;CENTRO UNIVERSITÁRIO BRASILEIRO (UNIBRA);UNIBRA;Rua Joaquim Felipe - 250 - s/c - CEP: 50050-340 - Boa Vista;Recife;PE;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;5;2017;-;;3;2016;Ativa
365;SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.;52.556.412/0001-06;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;526;CENTRO UNIVERSITÁRIO BRAZ CUBAS;-;Av. Francisco Rodrigues Filho - 1233 - s/c - CEP: 08773-380 - Mogilar;Mogi das Cruzes;SP;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;3;2016;4;2017;3;2016;Ativa
849;INSTITUTO DE ENSINO CAMPO LIMPO PAULISTA LTDA;02.252.746/0001-18;Privada com fins lucrativos;1273;Centro Universitário Campo Limpo Paulista (UNIFACCAMP);UNIFACCAMP;Rua Guatemala - 167 - s/c - CEP: 13231-230 - Jardim América;Campo Limpo Paulista;SP;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;4;2017;4;2017;3;2016;Ativa
495;ASSOCIACAO DE ENSINO VERSALHES;79.732.194/0001-70;Privada sem fins lucrativos;1232;CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE (UNIANDRADE);UNIANDRADE;Rua Marumby - 283 - s/c - CEP: 81220-090 - Campo Comprido;Curitiba;PR;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;4;2015;-;;3;2016;Ativa
905;ESCOLA DE EDUCACAO SUPERIOR SAO JORGE;67.973.677/0001-87;Privada sem fins lucrativos;1100;Centro Universitário Carlos Drummond de Andrade (UniDrummond);UniDrummond;Rua Prof. Pedreira de Freitas - 415 - s/c - CEP: 03312-050 - Tatuapé;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;5;2017;5;2010;4;2016;Ativa
15681;ASSOCIACAO EDUCACIONAL E CULTURAL DE QUIXADA;12.664.055/0001-85;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;2135;CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ;-;Rua Juvêncio Alves - 660 - s/c - CEP: 63900-000 - Centro;Quixadá;CE;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;4;2014;-;;3;2016;Ativa
419;FUNDACAO EDUCACIONAL REGIONAL JARAGUAENSE;83.130.229/0001-78;Privada sem fins lucrativos;645;Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul (Católica em Jaraguá );Católica em Jaraguá;Rua dos Imigrantes - 500 - s/c - CEP: 89254-430 - Vila Rau;Jaraguá do Sul;SC;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;4;2015;5;2015;3;2016;Ativa
419;FUNDACAO EDUCACIONAL REGIONAL JARAGUAENSE;83.130.229/0001-78;Privada sem fins lucrativos;17138;Centro Universitário - Católica de Santa Catarina em Joinville (Católica em Joinvile);Católica em Joinvile;Rua Senador Felipe Schmidt - S/N - s/c - CEP: 89201-440 - Centro;Joinville;SC;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2014;-;;3;2016;Ativa
978;INSPETORIA SAO JOAO BOSCO;33.583.592/0001-70;Privada sem fins lucrativos;1494;CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA;-;Avenida Vitória - 950 - s/c - CEP: 29017-950 - Forte São João;Vitória;ES;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;5;2015;5;2016;4;2016;Ativa
270;MISSAO SALESIANA DE MATO GROSSO;03.226.149/0001-81;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;4522;CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM (UNISALESIANO);UNISALESIANO;Rua Dom Bosco - 265 - s/c - CEP: 16400-505 - Centro;Lins;SP;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;4;2011;-;;4;2016;Ativa
363;INSTITUTO SUPERIOR DE ENSINO CELSO LISBOA;34.354.282/0001-47;Privada sem fins lucrativos;522;CENTRO UNIVERSITÁRIO CELSO LISBOA (UCL);UCL;Rua Vinte e Quatro de Maio - 797 - s/c - CEP: 20950-091 - Sampaio;Rio de Janeiro;RJ;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;3;2013;-;;3;2016;Ativa
407;CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE;33.621.384/0001-19;Privada sem fins lucrativos;626;CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO (UNICNEC);UNICNEC;Rua 24 de Maio - 141 - s/c - CEP: 95520-000 - Centro;Osório;RS;Centro Universitário;EAD - Superior / Presencial - Superior;Privada;Privada sem fins lucrativos;4;2015;4;2012;4;2016;Ativa
