NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,NT_GER,NT_FG,NT_CE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
2017,3304,4,10022,2001,4186,1,2510808,25,2,27,2007,2014,4,55.1,63.2,52.4,B,D,A,A,A,C,C,B,B,A,B,A,A,A,A,26,A,A,C,A,B,E,E,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,A,A,B,A,A,A,B,C,A,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,33,2007,2014,4,50.9,34.6,56.3,A,A,A,B,B,C,E,A,C,A,B,A,A,A,A,26,A,A,B,C,A,C,C,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,A,A,I,I,A,A,B,C,A,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,22,2013,2014,4,24,17.2,26.3,A,D,A,B,B,B,H,A,C,C,E,A,A,A,A,26,A,A,F,K,B,E,B,E,A,E,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,A,G,B,B,A,A,B,C,A,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,23,2011,2014,4,68.8,58.3,72.3,A,A,A,B,B,B,D,A,B,A,B,A,A,A,A,25,A,A,B,C,B,E,B,E,E,C,6,6,3,4,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,5,6,5,3,6,6,6,5,6,6,6,A,A,I,I,A,A,A,B,E,B,B,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,24,2011,2013,4,48.9,55.3,46.7,A,D,A,B,D,B,E,B,A,B,E,A,A,A,F,25,D,A,G,G,A,B,A,E,G,A,4,4,6,5,5,6,6,5,6,6,5,5,6,4,6,4,6,6,5,6,6,6,5,5,6,1,1,6,6,6,6,6,2,5,1,5,4,3,5,6,4,6,B,A,D,D,A,A,A,C,A,B,B,A,B,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,31,2010,2013,4,32,50.7,25.7,A,B,A,A,A,C,F,A,F,E,E,A,A,A,A,25,A,D,A,G,A,B,A,E,E,I,5,5,5,5,6,6,6,6,5,4,6,4,5,5,5,6,7,7,5,6,6,3,5,3,5,8,7,6,6,5,6,6,6,6,6,6,5,5,6,5,6,6,A,C,B,A,A,A,B,B,C,B,B,C,C,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,33,2001,2012,4,56.6,67.6,52.9,A,D,A,D,D,C,B,A,F,D,C,A,A,A,C,25,A,A,A,C,A,B,B,E,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,D,B,I,I,A,A,A,C,A,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,30,2005,2013,4,52.9,54.3,52.4,C,D,A,E,D,D,F,A,F,D,E,A,A,A,A,25,A,C,B,C,A,E,D,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,6,6,6,6,6,6,6,3,6,6,4,6,6,6,6,A,C,A,E,A,A,A,C,A,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,26,2009,2013,4,59.6,58.9,59.8,A,A,A,B,A,B,F,A,B,A,E,A,A,A,C,25,A,C,B,C,B,C,C,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,A,B,B,A,A,A,A,C,A,A,B,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,23,2014,2015,4,72.2,79.2,69.8,A,A,A,D,D,C,D,A,E,D,C,A,A,A,E,25,A,D,B,C,B,C,C,E,E,F,5,5,5,6,6,6,6,5,6,6,5,5,6,6,6,6,6,6,6,5,6,5,5,6,8,5,5,5,6,5,6,6,6,6,6,6,5,6,6,6,6,6,A,A,I,I,A,A,C,D,A,B,B,B,B,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,31,2004,2013,4,48,55.1,45.6,A,D,A,E,E,B,H,C,C,B,B,A,A,A,A,25,D,A,A,A,A,B,B,E,A,F,5,5,5,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,5,6,5,5,A,B,I,I,A,B,B,D,A,A,C,A,B,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,26,2008,2015,4,55.6,80.1,47.4,B,B,A,C,C,C,C,C,E,E,E,A,A,A,E,25,A,A,A,B,B,B,B,E,E,F,5,6,5,6,6,5,6,6,6,5,4,5,4,4,4,5,5,5,5,4,5,4,5,5,5,1,1,6,5,4,5,6,5,5,5,5,5,6,6,6,5,6,A,C,B,C,A,A,C,D,A,B,B,B,B,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,22,2012,2014,2,55.1,30,63.4,A,A,A,D,D,B,E,B,B,A,E,A,A,A,D,25,A,A,C,A,B,B,B,E,H,H,6,6,5,6,6,6,6,6,6,6,6,5,5,5,6,5,6,6,6,6,6,6,6,6,8,6,6,6,6,4,6,6,6,1,6,6,6,5,6,6,4,6,D,J,I,I,A,A,B,E,A,B,A,B,A,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,24,2014,2015,4,27.6,26.5,27.9,A,B,A,D,D,B,E,B,A,A,E,A,A,A,E,25,A,D,A,G,B,B,A,E,E,F,6,4,5,5,5,5,5,5,5,5,4,4,5,4,3,4,5,5,2,2,5,4,3,5,5,5,5,5,4,4,4,4,4,4,5,5,5,4,4,5,5,4,A,C,G,H,A,A,D,A,C,A,A,A,A,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,22,2013,2014,2,33.3,50.2,27.6,A,B,A,D,E,B,E,A,C,C,E,A,A,A,D,25,A,A,C,A,A,B,B,E,C,F,6,6,5,5,6,5,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,A,B,B,B,A,A,B,B,A,A,B,A,B,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,30,2004,2015,4,64.9,63.9,65.2,A,B,A,C,C,C,D,B,F,E,C,A,D,A,C,25,A,D,G,G,A,E,C,E,H,I,5,5,4,5,5,6,6,6,5,5,4,4,4,4,6,5,6,5,6,4,5,5,4,5,7,6,6,8,3,2,5,4,5,5,5,4,4,5,6,6,4,5,D,J,B,F,A,A,B,D,A,C,C,C,C,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,19,2014,2015,4,25,22.5,25.8,A,D,A,D,E,B,E,A,B,A,E,A,A,A,A,26,A,A,A,A,A,B,C,E,H,F,6,6,4,6,5,6,5,6,5,6,6,5,5,4,5,5,6,7,6,6,6,5,5,5,6,7,7,7,4,4,6,6,4,6,3,4,4,6,6,7,6,5,A,A,I,I,A,B,B,D,A,B,A,B,B,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,24,2010,2014,2,75.2,70.8,76.6,A,A,A,C,D,B,D,B,A,A,C,A,A,A,A,25,A,A,B,C,B,C,B,E,E,F,6,6,6,5,6,5,6,6,5,6,6,6,5,7,6,6,6,5,6,7,6,6,5,6,7,7,7,7,6,5,6,3,6,6,6,6,6,5,6,6,6,6,A,E,I,I,A,A,B,D,A,B,A,A,A,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,25,2011,2014,2,45.4,33,49.5,A,A,A,D,F,B,C,B,B,A,E,A,A,A,A,25,B,A,B,C,A,B,C,E,D,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,D,C,I,I,A,A,A,E,C,A,B,B,B,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,30,2004,2014,4,27.6,35.8,24.9,A,A,A,E,C,B,F,A,D,E,E,A,F,A,D,25,A,A,A,C,A,B,B,E,A,F,5,6,5,4,6,5,4,5,4,6,4,5,3,4,4,2,5,5,5,4,5,3,4,5,5,3,3,3,4,4,4,4,4,3,5,5,5,3,5,5,5,5,A,J,G,B,A,A,A,D,A,B,D,B,B,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,24,2010,2014,4,44.6,30,49.5,B,D,A,D,C,C,B,A,C,B,H,A,A,A,F,25,D,A,B,C,A,A,B,E,E,I,5,4,3,1,4,4,1,1,1,4,1,1,3,1,3,1,4,1,4,3,2,2,1,1,8,1,8,7,2,1,3,5,4,2,1,6,6,5,6,2,5,4,A,J,G,C,A,A,D,C,D,C,C,C,C,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,21,2013,2015,4,37.4,39.2,36.8,A,D,A,C,C,B,F,B,A,A,E,A,F,A,A,25,A,A,B,C,B,C,C,E,E,F,4,6,6,4,6,6,6,6,6,5,5,5,6,3,6,6,6,5,4,3,6,5,5,6,6,4,4,5,5,6,5,6,6,5,5,6,6,6,6,6,5,6,A,B,A,B,A,A,B,B,A,A,A,A,B,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,34,2005,2015,4,33.5,43.4,30.2,A,B,A,A,B,B,C,B,C,E,E,A,A,A,C,25,A,A,B,K,B,C,C,E,C,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,D,B,I,I,A,A,C,E,A,A,A,A,A,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
2017,352,4,10020,3502,7682,1,2507507,25,2,22,2013,2015,4,66.8,59.7,69.2,A,D,A,D,E,B,D,B,C,A,E,A,C,A,A,25,A,C,B,C,A,B,E,E,H,F,6,6,6,5,6,6,6,6,5,6,6,6,5,5,6,6,6,6,6,4,6,6,6,6,7,5,4,2,6,4,6,6,6,6,6,6,6,6,6,6,6,6,A,A,E,B,A,A,B,B,A,B,B,B,A,Educação Física (Licenciatura),245,08.679.557/0001-02,Privada com fins lucrativos,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n - Campus do UNIPÊ - CEP: 58053-000 - Água Fria,João Pessoa,PB,Centro Universitário,Privada,Privada com fins lucrativos,3,2016
